"actor_id","first_name","last_name","last_update"
1,"Penelope","Guiness","2013-05-26 14:47:57.620"
2,"Nick","Wahlberg","2013-05-26 14:47:57.620"
3,"Ed","Chase","2013-05-26 14:47:57.620"
4,"Jennifer","Davis","2013-05-26 14:47:57.620"
5,"Johnny","Lollobrigida","2013-05-26 14:47:57.620"
6,"Bette","Nicholson","2013-05-26 14:47:57.620"
7,"Grace","Mostel","2013-05-26 14:47:57.620"
8,"Matthew","Johansson","2013-05-26 14:47:57.620"
9,"Joe","Swank","2013-05-26 14:47:57.620"
10,"Christian","Gable","2013-05-26 14:47:57.620"
11,"Zero","Cage","2013-05-26 14:47:57.620"
12,"Karl","Berry","2013-05-26 14:47:57.620"
13,"Uma","Wood","2013-05-26 14:47:57.620"
14,"Vivien","Bergen","2013-05-26 14:47:57.620"
15,"Cuba","Olivier","2013-05-26 14:47:57.620"
16,"Fred","Costner","2013-05-26 14:47:57.620"
17,"Helen","Voight","2013-05-26 14:47:57.620"
18,"Dan","Torn","2013-05-26 14:47:57.620"
19,"Bob","Fawcett","2013-05-26 14:47:57.620"
20,"Lucille","Tracy","2013-05-26 14:47:57.620"
21,"Kirsten","Paltrow","2013-05-26 14:47:57.620"
22,"Elvis","Marx","2013-05-26 14:47:57.620"
23,"Sandra","Kilmer","2013-05-26 14:47:57.620"
24,"Cameron","Streep","2013-05-26 14:47:57.620"
25,"Kevin","Bloom","2013-05-26 14:47:57.620"
26,"Rip","Crawford","2013-05-26 14:47:57.620"
27,"Julia","Mcqueen","2013-05-26 14:47:57.620"
28,"Woody","Hoffman","2013-05-26 14:47:57.620"
29,"Alec","Wayne","2013-05-26 14:47:57.620"
30,"Sandra","Peck","2013-05-26 14:47:57.620"
31,"Sissy","Sobieski","2013-05-26 14:47:57.620"
32,"Tim","Hackman","2013-05-26 14:47:57.620"
33,"Milla","Peck","2013-05-26 14:47:57.620"
34,"Audrey","Olivier","2013-05-26 14:47:57.620"
35,"Judy","Dean","2013-05-26 14:47:57.620"
36,"Burt","Dukakis","2013-05-26 14:47:57.620"
37,"Val","Bolger","2013-05-26 14:47:57.620"
38,"Tom","Mckellen","2013-05-26 14:47:57.620"
39,"Goldie","Brody","2013-05-26 14:47:57.620"
40,"Johnny","Cage","2013-05-26 14:47:57.620"
41,"Jodie","Degeneres","2013-05-26 14:47:57.620"
42,"Tom","Miranda","2013-05-26 14:47:57.620"
43,"Kirk","Jovovich","2013-05-26 14:47:57.620"
44,"Nick","Stallone","2013-05-26 14:47:57.620"
45,"Reese","Kilmer","2013-05-26 14:47:57.620"
46,"Parker","Goldberg","2013-05-26 14:47:57.620"
47,"Julia","Barrymore","2013-05-26 14:47:57.620"
48,"Frances","Day-Lewis","2013-05-26 14:47:57.620"
49,"Anne","Cronyn","2013-05-26 14:47:57.620"
50,"Natalie","Hopkins","2013-05-26 14:47:57.620"
51,"Gary","Phoenix","2013-05-26 14:47:57.620"
52,"Carmen","Hunt","2013-05-26 14:47:57.620"
53,"Mena","Temple","2013-05-26 14:47:57.620"
54,"Penelope","Pinkett","2013-05-26 14:47:57.620"
55,"Fay","Kilmer","2013-05-26 14:47:57.620"
56,"Dan","Harris","2013-05-26 14:47:57.620"
57,"Jude","Cruise","2013-05-26 14:47:57.620"
58,"Christian","Akroyd","2013-05-26 14:47:57.620"
59,"Dustin","Tautou","2013-05-26 14:47:57.620"
60,"Henry","Berry","2013-05-26 14:47:57.620"
61,"Christian","Neeson","2013-05-26 14:47:57.620"
62,"Jayne","Neeson","2013-05-26 14:47:57.620"
63,"Cameron","Wray","2013-05-26 14:47:57.620"
64,"Ray","Johansson","2013-05-26 14:47:57.620"
65,"Angela","Hudson","2013-05-26 14:47:57.620"
66,"Mary","Tandy","2013-05-26 14:47:57.620"
67,"Jessica","Bailey","2013-05-26 14:47:57.620"
68,"Rip","Winslet","2013-05-26 14:47:57.620"
69,"Kenneth","Paltrow","2013-05-26 14:47:57.620"
70,"Michelle","Mcconaughey","2013-05-26 14:47:57.620"
71,"Adam","Grant","2013-05-26 14:47:57.620"
72,"Sean","Williams","2013-05-26 14:47:57.620"
73,"Gary","Penn","2013-05-26 14:47:57.620"
74,"Milla","Keitel","2013-05-26 14:47:57.620"
75,"Burt","Posey","2013-05-26 14:47:57.620"
76,"Angelina","Astaire","2013-05-26 14:47:57.620"
77,"Cary","Mcconaughey","2013-05-26 14:47:57.620"
78,"Groucho","Sinatra","2013-05-26 14:47:57.620"
79,"Mae","Hoffman","2013-05-26 14:47:57.620"
80,"Ralph","Cruz","2013-05-26 14:47:57.620"
81,"Scarlett","Damon","2013-05-26 14:47:57.620"
82,"Woody","Jolie","2013-05-26 14:47:57.620"
83,"Ben","Willis","2013-05-26 14:47:57.620"
84,"James","Pitt","2013-05-26 14:47:57.620"
85,"Minnie","Zellweger","2013-05-26 14:47:57.620"
143,"River","Dean","2013-05-26 14:47:57.620"
86,"Greg","Chaplin","2013-05-26 14:47:57.620"
87,"Spencer","Peck","2013-05-26 14:47:57.620"
88,"Kenneth","Pesci","2013-05-26 14:47:57.620"
89,"Charlize","Dench","2013-05-26 14:47:57.620"
90,"Sean","Guiness","2013-05-26 14:47:57.620"
91,"Christopher","Berry","2013-05-26 14:47:57.620"
92,"Kirsten","Akroyd","2013-05-26 14:47:57.620"
93,"Ellen","Presley","2013-05-26 14:47:57.620"
94,"Kenneth","Torn","2013-05-26 14:47:57.620"
95,"Daryl","Wahlberg","2013-05-26 14:47:57.620"
96,"Gene","Willis","2013-05-26 14:47:57.620"
97,"Meg","Hawke","2013-05-26 14:47:57.620"
98,"Chris","Bridges","2013-05-26 14:47:57.620"
99,"Jim","Mostel","2013-05-26 14:47:57.620"
100,"Spencer","Depp","2013-05-26 14:47:57.620"
101,"Susan","Davis","2013-05-26 14:47:57.620"
102,"Walter","Torn","2013-05-26 14:47:57.620"
103,"Matthew","Leigh","2013-05-26 14:47:57.620"
104,"Penelope","Cronyn","2013-05-26 14:47:57.620"
105,"Sidney","Crowe","2013-05-26 14:47:57.620"
106,"Groucho","Dunst","2013-05-26 14:47:57.620"
107,"Gina","Degeneres","2013-05-26 14:47:57.620"
108,"Warren","Nolte","2013-05-26 14:47:57.620"
109,"Sylvester","Dern","2013-05-26 14:47:57.620"
110,"Susan","Davis","2013-05-26 14:47:57.620"
111,"Cameron","Zellweger","2013-05-26 14:47:57.620"
112,"Russell","Bacall","2013-05-26 14:47:57.620"
113,"Morgan","Hopkins","2013-05-26 14:47:57.620"
114,"Morgan","Mcdormand","2013-05-26 14:47:57.620"
115,"Harrison","Bale","2013-05-26 14:47:57.620"
116,"Dan","Streep","2013-05-26 14:47:57.620"
117,"Renee","Tracy","2013-05-26 14:47:57.620"
118,"Cuba","Allen","2013-05-26 14:47:57.620"
119,"Warren","Jackman","2013-05-26 14:47:57.620"
120,"Penelope","Monroe","2013-05-26 14:47:57.620"
121,"Liza","Bergman","2013-05-26 14:47:57.620"
122,"Salma","Nolte","2013-05-26 14:47:57.620"
123,"Julianne","Dench","2013-05-26 14:47:57.620"
124,"Scarlett","Bening","2013-05-26 14:47:57.620"
125,"Albert","Nolte","2013-05-26 14:47:57.620"
126,"Frances","Tomei","2013-05-26 14:47:57.620"
127,"Kevin","Garland","2013-05-26 14:47:57.620"
128,"Cate","Mcqueen","2013-05-26 14:47:57.620"
129,"Daryl","Crawford","2013-05-26 14:47:57.620"
130,"Greta","Keitel","2013-05-26 14:47:57.620"
131,"Jane","Jackman","2013-05-26 14:47:57.620"
132,"Adam","Hopper","2013-05-26 14:47:57.620"
133,"Richard","Penn","2013-05-26 14:47:57.620"
134,"Gene","Hopkins","2013-05-26 14:47:57.620"
135,"Rita","Reynolds","2013-05-26 14:47:57.620"
136,"Ed","Mansfield","2013-05-26 14:47:57.620"
137,"Morgan","Williams","2013-05-26 14:47:57.620"
138,"Lucille","Dee","2013-05-26 14:47:57.620"
139,"Ewan","Gooding","2013-05-26 14:47:57.620"
140,"Whoopi","Hurt","2013-05-26 14:47:57.620"
141,"Cate","Harris","2013-05-26 14:47:57.620"
142,"Jada","Ryder","2013-05-26 14:47:57.620"
144,"Angela","Witherspoon","2013-05-26 14:47:57.620"
145,"Kim","Allen","2013-05-26 14:47:57.620"
146,"Albert","Johansson","2013-05-26 14:47:57.620"
147,"Fay","Winslet","2013-05-26 14:47:57.620"
148,"Emily","Dee","2013-05-26 14:47:57.620"
149,"Russell","Temple","2013-05-26 14:47:57.620"
150,"Jayne","Nolte","2013-05-26 14:47:57.620"
151,"Geoffrey","Heston","2013-05-26 14:47:57.620"
152,"Ben","Harris","2013-05-26 14:47:57.620"
153,"Minnie","Kilmer","2013-05-26 14:47:57.620"
154,"Meryl","Gibson","2013-05-26 14:47:57.620"
155,"Ian","Tandy","2013-05-26 14:47:57.620"
156,"Fay","Wood","2013-05-26 14:47:57.620"
157,"Greta","Malden","2013-05-26 14:47:57.620"
158,"Vivien","Basinger","2013-05-26 14:47:57.620"
159,"Laura","Brody","2013-05-26 14:47:57.620"
160,"Chris","Depp","2013-05-26 14:47:57.620"
161,"Harvey","Hope","2013-05-26 14:47:57.620"
162,"Oprah","Kilmer","2013-05-26 14:47:57.620"
163,"Christopher","West","2013-05-26 14:47:57.620"
164,"Humphrey","Willis","2013-05-26 14:47:57.620"
165,"Al","Garland","2013-05-26 14:47:57.620"
166,"Nick","Degeneres","2013-05-26 14:47:57.620"
167,"Laurence","Bullock","2013-05-26 14:47:57.620"
168,"Will","Wilson","2013-05-26 14:47:57.620"
169,"Kenneth","Hoffman","2013-05-26 14:47:57.620"
170,"Mena","Hopper","2013-05-26 14:47:57.620"
171,"Olympia","Pfeiffer","2013-05-26 14:47:57.620"
172,"Groucho","Williams","2013-05-26 14:47:57.620"
173,"Alan","Dreyfuss","2013-05-26 14:47:57.620"
174,"Michael","Bening","2013-05-26 14:47:57.620"
175,"William","Hackman","2013-05-26 14:47:57.620"
176,"Jon","Chase","2013-05-26 14:47:57.620"
177,"Gene","Mckellen","2013-05-26 14:47:57.620"
178,"Lisa","Monroe","2013-05-26 14:47:57.620"
179,"Ed","Guiness","2013-05-26 14:47:57.620"
180,"Jeff","Silverstone","2013-05-26 14:47:57.620"
181,"Matthew","Carrey","2013-05-26 14:47:57.620"
182,"Debbie","Akroyd","2013-05-26 14:47:57.620"
183,"Russell","Close","2013-05-26 14:47:57.620"
184,"Humphrey","Garland","2013-05-26 14:47:57.620"
185,"Michael","Bolger","2013-05-26 14:47:57.620"
186,"Julia","Zellweger","2013-05-26 14:47:57.620"
187,"Renee","Ball","2013-05-26 14:47:57.620"
188,"Rock","Dukakis","2013-05-26 14:47:57.620"
189,"Cuba","Birch","2013-05-26 14:47:57.620"
190,"Audrey","Bailey","2013-05-26 14:47:57.620"
191,"Gregory","Gooding","2013-05-26 14:47:57.620"
192,"John","Suvari","2013-05-26 14:47:57.620"
193,"Burt","Temple","2013-05-26 14:47:57.620"
194,"Meryl","Allen","2013-05-26 14:47:57.620"
195,"Jayne","Silverstone","2013-05-26 14:47:57.620"
196,"Bela","Walken","2013-05-26 14:47:57.620"
197,"Reese","West","2013-05-26 14:47:57.620"
198,"Mary","Keitel","2013-05-26 14:47:57.620"
199,"Julia","Fawcett","2013-05-26 14:47:57.620"
200,"Thora","Temple","2013-05-26 14:47:57.620"
